File Name,Pre-compression Entropy,Post-compression Entropy
data/0052503c-2849-4f41-ab51-db382103690c.wav,5.776210,7.969627
data/006c6dd6-d91e-419c-9836-c3f320da4f25.wav,4.776265,7.944455
data/00d4f842-fc92-45f5-8cae-3effdc2245f5.wav,4.891163,7.949259
data/00dc461c-a60a-4d74-bf87-de4208f224ee.wav,5.093333,7.946098
data/0161dc01-ec36-4fe7-bbbc-1801586d28f7.wav,5.176733,7.966617
data/01671c57-4584-40cd-998d-c49b211e386c.wav,5.180815,7.953514
data/01f5f49e-287d-4734-be3a-863c10c0cf2e.wav,4.904772,7.939847
data/02365fe0-4e01-4e82-a9c8-ab97389f2217.wav,5.283727,7.951335
data/028a8e19-3e49-4fc0-a5df-5055bb98f1c7.wav,4.793626,7.953887
data/02d7e5f2-e647-462f-883d-a0cb1daa5503.wav,5.915965,7.948232
data/02fe1fea-4f23-4b10-ad93-903ebdf081d1.wav,5.025916,7.945274
data/030ac074-4f10-4260-b41c-253cf3bc88e0.wav,5.275380,7.944891
data/032a5ecb-f35c-4af5-964c-8f42cbcd9a41.wav,4.435488,7.945955
data/036b3893-f89c-4010-85b0-7e8089326d45.wav,4.486761,7.945605
data/03e83b0d-9940-4388-9310-bf11d90e474d.wav,5.705858,7.906780
data/03f3c8e1-df39-4f6e-906f-ba2c6b28e2b8.wav,6.455494,7.936685
data/04104401-4523-4f80-8976-056cd3ee661c.wav,4.408905,7.949469
data/04154ce4-b699-4a1d-a4fb-7068e07c00fa.wav,5.329464,7.934366
data/0458e9fc-6403-427e-afec-6a659104399a.wav,4.284103,7.954308
data/048c9205-bada-4bed-b466-30cca0ac5a59.wav,4.270115,7.961148
data/04d1c648-49c6-4b33-b290-3f829b9bf4f9.wav,6.180948,7.946759
data/051eee27-45b5-4bbe-812e-85e046ba043a.wav,5.492905,7.960367
data/055f3d08-6691-4eb8-8612-4140f654426f.wav,5.144561,7.943769
data/05fd1660-eee0-45cc-a924-9d58921190ff.wav,6.198255,7.947080
data/06469380-cf24-4288-80bd-f78b9499ef3f.wav,5.738524,7.927530
